,user utc offset,text,created_at,user,id,user time zone,lng,user location,lat,language,Parsed,lemmas
780,Location is for stalkers.;)),"@vicegandako Would you care to explain ""napoles-zoned""? :D hihi.",1383890206.0,AMagicalOwl,'398811336081018880',Singapore,,28800.0,,en,"@vicegandako Would you care to explain ""napoles-zoned""? :D hihi.","[@vicegandako, care, explain, napoles, zoned, :D, hihi]"
781,Rndvd  :(,Hi iamjunecarla. Hi Coyel-Napoles(jk) #Bestfriend #Peace #Rock #Love http://t.co/nMT6551Tia,1383890228.0,Gteenb,'398811426292514816',Alaska,,-32400.0,,en,Hi iamjunecarla. Hi Coyel-Napoles(jk) #Bestfriend #Peace #Rock #Love http://t.co/nMT6551Tia,"[Hi, iamjunecarla, Hi, Coyel, Napoles(jk, Bestfriend, Peace, Rock, Love, http://t.co/nMT6551Tia]"
782,,"@ghejoyaquino @theaadritchbomb @DaveTalens @gabcatli ""I Invoke my rights - janet napoles",1383890249.0,ManongJobert,'398811515085529090',,,,,en,"@ghejoyaquino @theaadritchbomb @DaveTalens @gabcatli ""I Invoke my rights - janet napoles","[@ghejoyaquino, @theaadritchbomb, @DaveTalens, @gabcatli, Invoke, rights, janet, napoles]"
783,Third World,"""@HecklerForever: The most annoying thing about Janet Lim-Napoles after yesterday's hearing? She was still breathing.""",1383890284.0,Mackyyys,'398811663178006529',Pacific Time (US & Canada),,-28800.0,,en,"""@HecklerForever: The most annoying thing about Janet Lim-Napoles after yesterday's hearing? She was still breathing.""","[@HecklerForever, annoying, thing, Janet, Lim, Napoles, yesterday, 's, hearing, breathing]"
784,Phil.| MNL,Yolanda go and attack Napoles now,1383890306.0,waltercostales,'398811753032605696',Beijing,,28800.0,,en,Yolanda go and attack Napoles now,"[Yolanda, attack, Napoles]"
785,3 north,"RT @Catyeneza: Mom:""How are your grades?"" Me:""I invoke my right against self-incrimination""     Napoles haha :))))",1383890308.0,DiegoImao37,'398811762734014464',Hong Kong,,28800.0,,en,"RT @Catyeneza: Mom:""How are your grades?"" Me:""I invoke my right against self-incrimination""     Napoles haha :))))","[RT, @Catyeneza, Mom:""How, grades, Me:""I, invoke, right, self, incrimination,     , Napoles, haha]"
786,En los cuernos de la luna,@luiss_sosa el fishers napoles,1383890333.0,ELPOLLODICE,'398811866635309056',,,,,en,@luiss_sosa el fishers napoles,"[@luiss_sosa, el, fishers, napoles]"
787,"Manila, Philippines",Legarda: Ive given up my pork for 2014 http://t.co/1VBSemMU9c #Napoles @maila_ager,1383890340.0,inquirerdotnet,'398811897396346880',Hong Kong,,28800.0,,en,Legarda: Ive given up my pork for 2014 http://t.co/1VBSemMU9c #Napoles @maila_ager,"[Legarda, ve, given, pork, http://t.co/1VBSemMU9c, Napoles, @maila_ager]"
788,,8 Janet Napoles Answers to Classic Miss Universe Questions via @The8List http://t.co/4EMDBdlYRQ,1383890375.0,DmbfoundedMe,'398812042770923523',Beijing,,28800.0,,en,8 Janet Napoles Answers to Classic Miss Universe Questions via @The8List http://t.co/4EMDBdlYRQ,"[Janet, Napoles, Answers, Classic, Miss, Universe, Questions, @The8List, http://t.co/4EMDBdlYRQ]"
789,,"""@BagyongYoIanda: I invoke my right against self-incrimination."" Hahaha Napoles",1383890430.0,sunraizz,'398812272526520320',Beijing,,28800.0,,en,"""@BagyongYoIanda: I invoke my right against self-incrimination."" Hahaha Napoles","[@BagyongYoIanda, invoke, right, self, incrimination, Hahaha, Napoles]"
790,"Manila, Philippines","Dear Yolly, If we offer Napoles as human sacrifice, will you leave the country sooner? You'll like her-she's worth P10B! Love, Me #YolandaPH",1383890434.0,shortofsaying,'398812292524949504',Taipei,,28800.0,,en,"Dear Yolly, If we offer Napoles as human sacrifice, will you leave the country sooner? You'll like her-she's worth P10B! Love, Me #YolandaPH","[Dear, Yolly, offer, Napoles, human, sacrifice, leave, country, sooner, 'll, like, 's, worth, P10B, Love, YolandaPH]"
791,,HAHAHA!now ko lang nakita :DArnold Clavio's interview with Atty. Alfredo Villamor (Janet Napoles' La...: http://t.co/LA1TPFELZA via @youtube,1383890472.0,marivicnavaja,'398812451736518656',International Date Line West,,-39600.0,,en,HAHAHA!now ko lang nakita :DArnold Clavio's interview with Atty. Alfredo Villamor (Janet Napoles' La...: http://t.co/LA1TPFELZA via @youtube,"[HAHAHA!now, ko, lang, nakita, DArnold, Clavio, 's, interview, Atty, Alfredo, Villamor, Janet, Napoles, La, http://t.co/LA1TPFELZA, @youtube]"
792,,What does the fox say? Napoles: Di ko po alam. -Ay put....,1383890543.0,itsmeallenpie,'398812748500307968',Lisbon,,0.0,,en,What does the fox say? Napoles: Di ko po alam. -Ay put....,"[fox, Napoles, Di, ko, po, alam, -Ay]"
793,,@vicegandako @garvothe13 #napoles is that you?... haha..,1383890564.0,sheymhae,'398812836509392896',,,,,en,@vicegandako @garvothe13 #napoles is that you?... haha..,"[@vicegandako, @garvothe13, napoles, haha]"
794,,Watching the senate hearing of Napoles &amp; idk why. I'm waiting for Miriam,1383890586.0,MarciaVega_,'398812930461806592',Beijing,,28800.0,,en,Watching the senate hearing of Napoles &amp; idk why. I'm waiting for Miriam,"[Watching, senate, hearing, Napoles, amp, idk, 'm, waiting, Miriam]"
795,SomewhereAwesomePeopleHangOut,@asdfghJeeews New version of Napoles!,1383890600.0,Kaaashley,'398812986090852353',Hawaii,,-36000.0,,en,@asdfghJeeews New version of Napoles!,"[@asdfghJeeews, New, version, Napoles]"
796,,"""@jmsarno22: #QuoteOfTheDay NAPOLES: Hindi ko po alam http://t.co/7ZCTKmdnS2""",1383890612.0,MLNBiancss,'398813037798232064',Arizona,,-25200.0,,en,"""@jmsarno22: #QuoteOfTheDay NAPOLES: Hindi ko po alam http://t.co/7ZCTKmdnS2""","[@jmsarno22, QuoteOfTheDay, NAPOLES, Hindi, ko, po, alam, http://t.co/7ZCTKmdnS2]"
797,"Metro Manila, Philippines",Strongest typhoon: YolandaStrongest Nation: PhilippinesStrongest People: FilipinosStrongest Face: Napoles#repost #YolandaPH #justkidding,1383890630.0,tijayski,'398813112834342912',Taipei,,28800.0,,en,Strongest typhoon: YolandaStrongest Nation: PhilippinesStrongest People: FilipinosStrongest Face: Napoles#repost #YolandaPH #justkidding,"[Strongest, typhoon, YolandaStrongest, Nation, PhilippinesStrongest, People, FilipinosStrongest, Face, Napoles#repost, YolandaPH, justkidding]"
798,"Naga City, Philippines",LOL@Wikipedia's article about Self-Incrimination. Under Philippine Law: see also: Janet Lim-Napoles,1383890849.0,Oteppanyaki,'398814031969939456',Singapore,,28800.0,,en,LOL@Wikipedia's article about Self-Incrimination. Under Philippine Law: see also: Janet Lim-Napoles,"[LOL@Wikipedia, 's, article, Self, Incrimination, Philippine, Law, Janet, Lim, Napoles]"
799,Philippines,@manila_bulletin: Escudero wants Napoles in ordinary jailhttp://t.co/MXmU0YgzKw http://t.co/Lf4aAXFvwE,1383890852.0,janiellepearl,'398814043881738240',Hong Kong,,28800.0,,en,@manila_bulletin: Escudero wants Napoles in ordinary jailhttp://t.co/MXmU0YgzKw http://t.co/Lf4aAXFvwE,"[@manila_bulletin, Escudero, wants, Napoles, ordinary, jailhttp://t.co, MXmU0YgzKw, http://t.co/Lf4aAXFvwE]"
800,,@godknowshudas @http://newsinfo.inquirer.net/523189/escudero-wants-napoles-transfer-to-regular-jail i agree with Sen Escudero ,1383890916.0,EdmanPole,'398814313592274944',Abu Dhabi,,14400.0,,en,@godknowshudas @http://newsinfo.inquirer.net/523189/escudero-wants-napoles-transfer-to-regular-jail i agree with Sen Escudero ,"[@godknowshudas, @http://newsinfo.inquirer.net/523189/escudero, wants, napoles, transfer, regular, jail, agree, Sen, Escudero]"
801,Philippines,"""@kimannortiz: I invoke my right against self-incrimination."" NA NAPOLES XDD",1383890922.0,dayanlabss,'398814336568672256',Beijing,,28800.0,,en,"""@kimannortiz: I invoke my right against self-incrimination."" NA NAPOLES XDD","[@kimannortiz, invoke, right, self, incrimination, NA, NAPOLES, XDD]"
802,MNL. Phlippines,"Mrs. Napoles, please tell the truth. Please? http://t.co/i5aoTb3etm",1383890940.0,Jac_Reacher,'398814413353791488',Pacific Time (US & Canada),,-28800.0,,en,"Mrs. Napoles, please tell the truth. Please? http://t.co/i5aoTb3etm","[Mrs., Napoles, tell, truth, http://t.co/i5aoTb3etm]"
803,Australia,That napoles and chicser tweet &gt;&gt;&gt;  ya make me happy @BagyongYolanda,1383890954.0,whitecrayolaa,'398814471314890752',Sydney,,39600.0,,en,That napoles and chicser tweet &gt;&gt;&gt;  ya make me happy @BagyongYolanda,"[napoles, chicser, tweet, gt;&gt;&gt,  , ya, happy, @BagyongYolanda]"
804,Bradford,"""@JogeLLY: ""@BagyongYoIanda: I invoke my right against self-incrimination."" #Napoles. Hahahahahaha""",1383891012.0,ALLEYLOVESS,'398814714458673152',Singapore,,28800.0,,en,"""@JogeLLY: ""@BagyongYoIanda: I invoke my right against self-incrimination."" #Napoles. Hahahahahaha""","[@JogeLLY, @BagyongYoIanda, invoke, right, self, incrimination, Napoles, Hahahahahaha]"
805,"Naga City, Philippines",@nikioquendo napoles' too sassy for ya,1383891026.0,elmadelatorre,'398814774483378176',Pacific Time (US & Canada),,-28800.0,,en,@nikioquendo napoles' too sassy for ya,"[@nikioquendo, napoles, sassy, ya]"
806,Bulakan,GNight! madlang People .. God is in control #Napoles,1383891030.0,aewin_26,'398814790283296768',Beijing,,28800.0,,en,GNight! madlang People .. God is in control #Napoles,"[GNight, madlang, People, God, control, Napoles]"
807,Bradford,"""@JeFFeRSoN_skyle: Boy: Will you marry me? :) Girl: Hindi ko alam. I invoke my right against self incrimination. #Napoles""",1383891040.0,ALLEYLOVESS,'398814835040727041',Singapore,,28800.0,,en,"""@JeFFeRSoN_skyle: Boy: Will you marry me? :) Girl: Hindi ko alam. I invoke my right against self incrimination. #Napoles""","[@JeFFeRSoN_skyle, Boy, marry, Girl, Hindi, ko, alam, invoke, right, self, incrimination, Napoles]"
808,Mandaluyong,@justinbustos Napoles is that you? HAHAHA :D,1383891060.0,HEYnikaaaaii,'398814916385075200',Beijing,,28800.0,,en,@justinbustos Napoles is that you? HAHAHA :D,"[@justinbustos, Napoles, HAHAHA, :D]"
809,Bradford,"""@sikarlpogi: Rich Kid : I invoke my right against self incrimination.  Poor Kid : Di ko po alam. #Napoles""",1383891082.0,ALLEYLOVESS,'398815008429064192',Singapore,,28800.0,,en,"""@sikarlpogi: Rich Kid : I invoke my right against self incrimination.  Poor Kid : Di ko po alam. #Napoles""","[@sikarlpogi, Rich, Kid, invoke, right, self, incrimination,  , Poor, Kid, Di, ko, po, alam, Napoles]"
