,id,lat,lng,text,Parsed,lemmas
14,928642792682807298,14.683012,121.0627355,"''#WalangPasok PUBLIC ADVISORY. Classes in all levels, public and private, in the City of Manila, have been SUSPENDED… https://t.co/7U4V67NRWp''","''#WalangPasok PUBLIC ADVISORY. Classes in all levels, public and private, in the City of Manila, have been SUSPENDED… https://t.co/7U4V67NRWp''","['walangpasok', 'public', 'advisory', 'class', 'level', 'public', 'private', 'city', 'manila', 'suspended']"
15,928650594629406721,14.5914565,120.9839865,''#WALANGPASOK https://t.co/ttZ85r0Agk'',''#WALANGPASOK https://t.co/ttZ85r0Agk'',['walangpasok']
16,928644794166870016,14.5914565,120.9839865,''Before suspension: Oi ano na mayor tagal mo nmn mag suspend After suspension: lodi ka mayor  #WalangPasok'',''Before suspension: Oi ano na mayor tagal mo nmn mag suspend After suspension: lodi ka mayor  #WalangPasok'',"['suspension', 'ano', 'mayor', 'tagal', 'nmn', 'mag', 'suspend', 'suspension', 'lodi', 'mayor', 'walangpasok']"
17,928645558838816768,14.683012,121.0627355,''STAY SAFE AND DRY MGA FRIENDSHIPSSS https://t.co/rIAlf2x66B'',''STAY SAFE AND DRY MGA FRIENDSHIPSSS https://t.co/rIAlf2x66B'',"['stay', 'safe', 'dry', 'mga', 'friendshipsss']"
18,928641811802865664,14.5914565,120.9839865,''Smeg sem is cancelledt lol stay safe frens https://t.co/cvSx2JcbJu'',''Smeg sem is cancelledt lol stay safe frens https://t.co/cvSx2JcbJu'',"['smeg', 'sem', 'cancelledt', 'lol', 'stay', 'safe', 'fren']"
19,928645527977189376,14.683012,121.0627355,''Anuna Manila? Suspended ba? Para alam ko kung gagawa na ako ng report kay sir Fabian o hindi https://t.co/1rTr0imcy6'',''Anuna Manila? Suspended ba? Para alam ko kung gagawa na ako ng report kay sir Fabian o hindi https://t.co/1rTr0imcy6'',"['anuna', 'manila', 'suspend', 'para', 'alam', 'kung', 'gagawa', 'ako', 'report', 'kay', 'sir', 'fabian', 'hindi']"
20,928655085466349569,14.5914565,120.9839865,''Thank you https://t.co/owC4qXOAPC'',''Thank you https://t.co/owC4qXOAPC'',['thank']
21,928647703373811714,14.5914565,120.9839865,''Gawaan na ng grades at bigayan na ng cards sa monday! Tapos biglang #WalangPasok bukas? So pano na? Kakabayuhin na naman ba natin ito?😑😑😑😑😑'',''Gawaan na ng grades at bigayan na ng cards sa monday! Tapos biglang #WalangPasok bukas? So pano na? Kakabayuhin na naman ba natin ito?😑😑😑😑😑'',"['gawaan', 'grade', 'bigayan', 'card', 'monday', 'tapos', 'biglang', 'walangpasok', 'bukas', 'pano', 'kakabayuhin', 'naman', 'natin', 'ito?😑😑😑😑😑']"
22,928673047678107653,14.483414000000002,121.01080300000001,''Magbunyi!!! https://t.co/wdxhUXvscZ'',''Magbunyi!!! https://t.co/wdxhUXvscZ'',['magbunyi']
23,928649402394165248,14.683012,121.0627355,''Pasig: the baha-free city https://t.co/PMEbAKf7Wu'',''Pasig: the baha-free city https://t.co/PMEbAKf7Wu'',"['pasig', 'baha', 'free', 'city']"
24,928642894381977601,14.5914565,120.9839865,''BOOM!!! YAAAAS HAHAHAHAHA https://t.co/8V0DIY73yQ'',''BOOM!!! YAAAAS HAHAHAHAHA https://t.co/8V0DIY73yQ'',"['boom', 'yaaaas', 'hahahahaha']"
